Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.3,3.0,224.0,31,407,,
2,3.0,7.1,211.5,37,427,35,
3,4.8,10.5,257.7,20,370,33,
4,6.6,14.3,229.5,29,399,34,
5,8.3,18.3,229.5,29,399,34,
6,10.0,22.5,208.3,39,433,35,
7,11.5,26.2,208.3,39,433,35,
8,13.3,30.8,193.2,49,467,38,
9,14.8,34.7,193.2,49,467,38,
10,16.6,39.2,193.0,49,467,37,
11,18.1,43.1,193.8,48,465,38,
12,19.8,47.6,193.3,48,466,37,
13,21.3,51.4,196.6,46,458,37,
14,22.8,55.3,196.6,46,458,37,
15,24.3,59.2,194.6,47,463,38,
16,26.1,63.7,197.5,45,456,38,
17,27.5,67.8,182.0,58,499,38,
18,29.1,72.1,174.9,65,525,40,
19,30.5,76.2,174.9,65,525,40,
20,32.3,81.0,184.8,55,490,39,
21,33.8,85.2,181.8,58,500,39,
22,35.3,89.3,177.9,62,513,40,
23,36.8,93.5,181.4,59,501,40,
24,38.3,97.7,179.4,61,508,39,
25,39.8,101.9,179.4,61,508,39,
26,41.3,106.1,178.4,62,512,38,
27,42.8,110.4,178.0,62,513,40,
28,44.3,114.6,178.7,61,511,40,
29,45.8,118.9,175.4,65,523,41,
30,47.3,123.2,175.4,65,523,41,
31,48.8,127.4,176.2,64,520,41,
32,50.3,131.7,175.5,65,522,41,
33,51.8,136.0,176.3,64,519,41,
34,53.1,139.5,176.3,64,519,41,
35,54.5,143.8,176.4,64,519,42,
36,56.1,148.1,175.7,65,522,43,
37,57.3,151.6,175.7,65,522,43,
38,58.8,155.9,178.3,62,512,43,
39,60.3,160.2,176.4,64,519,41,
40,61.8,164.4,177.4,63,515,41,
41,63.3,168.7,175.5,65,522,42,
42,64.8,172.9,178.0,62,513,39,
43,66.3,177.2,174.9,65,525,40,
44,67.8,181.5,174.9,65,525,40,
45,69.3,185.8,175.0,65,524,39,
46,71.1,190.8,177.0,63,517,38,
47,72.5,195.0,177.6,62,515,39,
48,74.0,199.2,177.6,62,515,39,
49,75.5,203.5,176.6,64,518,39,
50,77.0,207.7,176.7,63,518,39,
51,78.5,211.9,176.7,63,518,39,
52,80.0,216.2,177.5,63,515,39,
53,81.8,221.2,174.6,66,526,39,
54,83.3,225.5,175.6,65,522,39,
55,84.8,229.7,178.7,61,511,40,
56,86.3,233.9,180.7,59,504,38,
57,87.8,238.0,183.3,57,495,41,
58,89.3,242.1,183.3,57,495,41,
59,90.8,246.4,183.6,57,494,37,
60,92.5,251.4,174.9,65,525,38,
61,94.0,255.7,173.5,67,530,38,
62,95.5,260.0,173.5,67,530,38,
63,97.0,264.3,175.0,65,524,39,
64,98.6,268.6,175.6,65,522,39,
65,100.3,273.7,174.7,66,525,38,
66,101.8,277.9,174.8,66,525,39,
67,103.3,282.2,176.5,64,519,40,
68,104.8,286.5,176.5,64,519,40,
69,106.3,290.7,176.9,63,517,38,
70,107.8,295.0,175.7,65,522,40,
71,109.5,300.1,173.3,67,531,39,
72,111.0,304.4,174.7,66,525,40,
73,112.6,308.7,176.5,64,519,39,
74,114.0,312.9,176.0,64,520,40,
75,115.5,317.2,174.6,66,526,40,
76,117.0,321.5,174.3,66,527,40,
77,118.5,325.9,172.8,68,533,40,
78,120.0,330.2,175.1,65,524,39,
79,121.5,334.5,175.5,65,522,40,
80,123.0,338.8,175.2,65,523,40,
81,124.6,343.0,176.3,64,519,40,
82,126.0,347.3,177.3,63,516,40,
83,127.5,351.5,177.3,63,516,40,
84,129.0,355.7,177.7,62,514,39,
85,130.8,360.6,178.4,62,512,39,
86,132.3,364.9,175.4,65,523,40,
87,133.8,369.2,174.5,66,526,40,
88,135.3,373.5,175.0,65,524,40,
89,136.8,377.8,175.8,64,521,39,
90,138.3,382.1,176.5,64,519,39,
91,139.8,386.3,177.2,63,516,39,
92,141.3,390.5,175.8,64,521,39,
93,142.8,394.8,175.8,64,521,39,
94,144.3,399.1,175.1,65,524,39,
95,145.8,403.3,176.9,63,517,40,
96,147.5,408.2,180.4,60,505,39,
97,149.0,412.3,181.6,58,501,40,
98,150.5,416.4,182.1,58,499,40,
99,152.8,422.3,182.1,58,499,40,
100,154.5,427.0,188.7,52,479,39,
101,156.0,431.2,179.6,60,507,37,
102,157.8,436.2,176.7,63,518,36,
103,159.3,440.5,173.2,67,531,38,
104,160.8,444.8,173.2,67,531,38,
105,162.5,449.9,172.4,68,535,39,
106,164.0,454.2,174.3,66,527,39,
107,165.5,458.5,176.4,64,519,38,
108,167.0,462.7,176.4,64,519,38,
109,168.5,466.9,176.1,64,520,39,
110,170.0,471.2,178.4,62,512,39,
111,171.5,475.4,178.3,62,512,40,
112,173.3,480.3,179.6,60,507,38,
113,174.8,484.5,178.5,62,511,40,
114,176.3,488.7,180.8,59,503,40,
115,177.8,492.8,181.0,59,503,39,
116,179.3,497.0,179.9,60,506,40,
117,180.8,501.2,178.3,62,512,41,
118,182.3,505.5,176.6,64,518,40,
119,183.8,509.7,176.5,64,519,39,
120,185.3,514.1,173.9,67,529,40,
121,186.8,518.4,173.4,67,531,40,
122,188.3,522.7,173.9,67,529,40,
123,189.8,527.1,173.0,68,532,40,
124,191.3,531.4,172.0,69,536,40,
125,192.8,535.8,172.3,68,535,40,
126,194.3,540.2,171.8,69,537,39,
127,195.8,544.6,171.1,70,540,40,
128,197.3,548.9,171.1,70,540,40,
129,198.8,553.2,172.7,68,533,40,
130,200.3,557.5,174.7,66,525,40,
131,201.8,561.9,174.3,66,527,40,
132,203.3,566.1,175.1,65,524,40,
133,204.8,570.4,174.9,65,525,40,
134,206.3,574.9,173.6,67,530,40,
135,207.8,579.4,169.0,73,549,40,
136,209.3,583.7,169.0,73,549,40,
137,210.8,588.1,171.8,69,537,41,
138,212.3,592.6,169.6,72,546,41,
